my_id,H3_id,2MASS_id,GaiaDR2_id,GaiaDR3_id,ra_h3,dec_h3,SNR_h3,SNR_apo,teff_h3,teff_h3_unc,logg_h3,logg_h3_unc,feh_h3,feh_h3_unc,afe_h3,afe_h3_unc,rv_h3,rv_h3_unc,dist_h3,dist_h3_unc,dist_sh,dist_sh_unc,teff_apo,teff_apo_unc,logg_apo,logg_apo_unc,mh_apo,mh_apo_unc,feh_apo,feh_apo_unc,rv_apogee,rv_apogee_unc,ra,dec,plx,plx_unc,pmra,pmra_unc,pmdec,pmdec_unc,ruwe,G,G_unc,BP,BP_unc,RP,RP_unc,E_BP_RP,BP_RP,BP_G,B_RP,rv_gaiaDR3,rv_gaiaDR3_unc,snr4500,snr6500,binning,slit,date,rv_raw,b_corr,rv,rv_unc,delta_rv,teff_spec,teff_corr,delta_teff,teff_stat_unc,teff_sys_unc,teff_unc,logg_spec,logg_corr,delta_logg,logg_stat_unc,logg_sys_unc,logg_unc,mh_spec,mh_corr,delta_mh,feh,feh_unc,mh_stat_unc,mh_sys_unc,mh_unc,vt_spec,vt_corr,delta_vt,vt_stat_unc,vt_sys_unc,vt_unc,mgfe,mgfe_unc,v_r16,v_r50,v_r84,v_phi16,v_phi50,v_phi84,v_z16,v_z50,v_z84,j_r16,j_r50,j_r84,j_phi16,j_phi50,j_phi84,j_z16,j_z50,j_z84,energy16,energy50,energy84,rperi16,rperi50,rperi84,rapo16,rapo50,rapo84,zmax16,zmax50,zmax84,ecc16,ecc50,ecc84,ecc_mean,Lx16,Lx50,Lx84,Ly16,Ly50,Ly84,Lz16,Lz50,Lz84,Ltot16,Ltot50,Ltot84,Lperp16,Lperp50,Lperp84,incl16,incl50,incl84,xgal16,xgal50,xgal84,ygal16,ygal50,ygal84,zgal16,zgal50,zgal84,vx16,vx50,vx84,vy16,vy50,vy84,vz16,vz50,vz84
Wuk10,163246133,11133926+0051064,3810150429850681984,3810150429850681984,168.413605827672,0.851813055567462,26.4720442569976,,4794.30155596892,17.3951828123986,1.81188873944806,0.0397836626946287,-1.64920917867363,0.0266354825024348,0.233217706275306,0.0233811772913739,193.814826006249,0.0623690568185111,16.3128660133177,0.771286559330187,,,,,,,,,,,,,168.41359389855,0.85176847738,-0.0359,0.0395,0.323,0.039,-0.891,0.038,0.933,15.432744,0.002783,15.92852,0.003975,14.769826,0.004501,1.235,1.158694,0.495776,0.662918,,,39,64,2x2,0.7,2022 06 09,223,-29.27,193.73,1,0.0848260062487043,4604,4814,210,14,100,101,1.15,1.9,0.75,0.03,0.5,0.5,-2.23,-1.98,0.25,-1.99,0.21,0.12,0.2,0.23,1.65,1.55,0.1,0.04,0.1,0.11,0.401,0.191,-95.9082204619935,-92.9166601824575,-89.8499880542553,-47.6564363424236,-41.2562107572409,-36.1967110912722,141.362462024611,144.517107969539,147.063538897375,118.798304677179,134.951579155963,163.802036070015,-639.97257439138,-568.841450812838,-511.878343067185,2617.79951973363,2786.32930191746,2924.36885128975,-123400.773086157,-121713.803421747,-120319.272051459,11.7753098297119,12.3357019424438,12.8427899551392,19.114137878418,19.9008131027222,20.5438149261475,18.7272944641113,19.5977544784546,20.2859064483643,0.219670503139496,0.233192905783653,0.257824373245239,0.236416115164757,-2658.96721011788,-2574.92091206419,-2477.68330644313,1971.7533260695,2051.32443259659,2114.36418026444,-639.97257439138,-568.841450812838,-511.878343067185,3229.12883718436,3336.55948750027,3439.52383312554,3168.3356554903,3294.45496154653,3396.13633210358,98.7480640228222,99.9073801135089,101.230990423701,-10.4060344394922,-10.3148170099592,-10.2074003447393,-9.6258115330348,-9.2277933654605,-8.75909144657693,12.726873945695,13.4078932358941,13.9862097288443,38.6815209073991,41.7352691083172,44.0514532678101,88.4671317441089,92.7086693142326,96.4911196720795,141.362462024611,144.517107969539,147.063538897375
Wuk11,164130340,14133449+1000265,1225051430189620864,1225051430189620864,213.393718035142,10.0073359136357,25.707605222458,,4744.3809173385,15.6909877242488,1.60140782295154,0.0365261303520997,-1.90595915021591,0.0292923979769497,0.250984615365116,0.0312953396557072,0.324224166329515,0.0680818432469222,18.0555589578937,0.744493078759332,,,,,,,,,,,,,213.3937108283,10.00730628939,-0.0006,0.0305,-0.473,0.038,-1.125,0.03,1.039,15.204042,0.002775,15.71581,0.003436,14.5281,0.003983,1.237,1.18771,0.511767,0.675942,,,39,71,2x2,0.7,2022 06 10,25,-21,4,1,3.67577583367049,4484,4706,222,18,100,102,0.5,1.18,0.68,0.06,0.5,0.5,-2.56,-2.37,0.19,-2.37,0.2,0.11,0.2,0.23,2.09,1.96,0.13,0.04,0.1,0.11,0.476,0.176,-148.179388198006,-139.022774468588,-123.609351266826,-85.1779704111432,-41.9961382310703,29.8134398793646,-7.14547516908849,-5.6976901245261,-4.42745695929776,145.549492213397,173.603700112593,211.210175092593,-78.5229048940017,-31.2276616755469,19.8255710470126,2389.0818570146,2473.07738625229,2578.37475178443,-134819.492971754,-133590.118896712,-131962.755114153,8.34420951843262,8.78554534912109,9.15846477508545,15.6265217590332,16.2503213882446,16.9659967803955,15.6169693374634,16.2416019439697,16.9472440338135,0.276542184352875,0.300085410475731,0.329507057666779,0.301363198161125,-2426.77954378576,-2352.97346105033,-2274.43448555626,590.928228223785,628.452604228952,674.890247127183,-78.5229048940017,-31.2276616755469,19.8255710470126,2352.48137204529,2433.12889766946,2517.16744572878,2347.54309518144,2432.63284527986,2516.95736996585,89.5484941992541,90.7561859051271,91.9016680328526,-0.691207082065317,-0.390821788210916,-0.050350237899382,-0.66307979754644,-0.635378017317702,-0.610937774405525,15.5548187158526,16.1770810211098,16.8823838974685,37.9832460936458,39.22118946726,40.4023589403622,139.438539068259,145.927620391704,150.800278985864,-7.14547516908849,-5.6976901245261,-4.42745695929776
Wuk12,165305481,13583378+1250454,3727823702151504896,3727823702151504896,209.640773260863,12.8459894758809,24.1093970956497,,4824.42030320135,18.6296094061295,1.81020404300786,0.0427291164638539,-1.76931231877443,0.0310839549452251,0.23094441466139,0.0321966247728116,25.8599876069118,0.0681445086116259,14.5243744962915,0.68472736499124,,,,,,,,,,,,,209.64074891729,12.84598965728,0.1012,0.0325,-0.448,0.038,-3.102,0.028,1.062,15.178802,0.002774,15.663664,0.003424,14.523211,0.004083,1.234,1.140453,0.484862,0.655591,,,33,58,2x2,0.7,2022 06 10,47.9,-22.22,25.68,1,0.179987606911791,4636,4842,206,25,100,103,1.11,1.82,0.71,0.07,0.5,0.5,-2.32,-2.09,0.23,-2.12,0.22,0.15,0.2,0.25,1.83,1.77,0.06,0.05,0.1,0.11,0.277,0.214,-133.567372986155,-130.314994932462,-126.145770133019,-49.2330075482577,-38.0524179852172,-25.8315075852939,-17.5461586713965,-15.0461794014158,-12.7285648487032,241.012879201936,260.046558473648,273.366370832169,-157.650599785297,-115.910481309591,-73.4558856890718,1675.19787934925,1792.90486215863,1907.38905883363,-144770.432745194,-143039.487307642,-141062.674812226,5.60741863250732,5.88393402099609,6.17280111312866,13.8151721954346,14.2757773399353,14.8820100021362,13.7597406768799,14.2403492927551,14.8688084793091,0.4065172290802,0.416488021612167,0.427169870138168,0.416916220188141,-906.150463873843,-807.630041795169,-705.315676486134,1472.71109176595,1590.34611983274,1715.61869898967,-157.650599785297,-115.910481309591,-73.4558856890719,1712.39962323511,1793.82561547748,1870.15893156621,1704.86939810682,1791.16756371286,1869.4733241743,92.2300232485356,93.7347738451397,95.1153796179023,-3.20005122033842,-2.99780682475072,-2.75677920093061,-0.576494451465287,-0.55096708579129,-0.529547272743067,12.9431856309713,13.4667283451613,14.0906677922984,116.630117645115,121.539874309819,125.4945628085,51.3010325642528,60.7576663156649,70.1038148285901,-17.5461586713965,-15.0461794014158,-12.7285648487032
Wuk13,166070607,13080618+1246414,3737533184394415232,3737533184394415232,197.025729457383,12.7781880371753,21.7400359368751,,4848.14335337338,18.0281098048872,1.88232544592911,0.0431984932992404,-1.59387725586832,0.0289421393977247,0.124144588931844,0.0283658811590969,93.3381711211957,0.0817302358356713,15.2685654630699,0.730225705446457,,,,,,,,,,,,,197.02574226036,12.77815059342,0.0044,0.036,-0.499,0.043,-0.84,0.055,1.044,15.405568,0.002772,15.882188,0.003485,14.759166,0.004166,1.231,1.123022,0.47662,0.646402,,,34,61,2x2,0.7,2022 06 09,119.5,-25.77,93.73,1,0.391828878804304,4725,4923,198,26,100,103,1.52,2.15,0.63,0.06,0.5,0.5,-2.07,-1.87,0.2,-1.9,0.2,0.13,0.24,0.27,1.72,1.7,0.02,0.04,0.1,0.11,0.322,0.216,-102.209568287843,-99.1571609433995,-95.2430330001128,-136.339419035231,-128.278438335895,-121.907320727113,83.777732772319,85.0201531451413,86.2345484261522,79.9013446798741,102.569508984934,126.063252361817,-805.759139239643,-747.592808270208,-703.822957796447,2021.90564620765,2144.37857601975,2243.49246337045,-130917.474121557,-129195.125836581,-127785.277298399,10.3588793563843,10.7723813056946,11.2091791152954,16.1235312652588,16.7853479385376,17.4202848052979,15.4292239379883,16.1622438430786,16.8650983428955,0.196003443002701,0.217579558491707,0.242726890444756,0.217246553897858,-2655.35695964571,-2563.89834229659,-2448.74026633183,906.820296124686,926.013419519743,938.850890858871,-805.759139239643,-747.592808270207,-703.822957796447,2730.72886853256,2823.60018915899,2913.01185004267,2614.251349284,2726.30896808475,2815.1117999805,104.25204892133,105.405173156054,106.732732303752,-5.38743122967561,-5.25010752672021,-5.11106293615357,-2.68918517723842,-2.56813491166216,-2.4485828266445,14.043513281985,14.7291879814744,15.4234552914914,31.9967053789575,32.4369010384212,32.8910420493291,152.925366560741,158.841616758314,164.700797588006,83.777732772319,85.0201531451413,86.2345484261522
Wuk14,,12315232+0002173,,3696527104395430016,,,,85.189354,,,,,,,,,,,,,14.006392,0.6624851,4828.577,19.5017,1.8685827,0.056986023,-1.348,0.016255403,-1.3213,0.016808962,49.756878,0.14857315,187.968031,0.038157,0.08012207,0.0311463,-0.55042404,0.0375261,-0.78337294,0.0273523,1.008,15.1894,,15.6831,,14.5294,,,,,,,,43,68,2x2,0.7,2023 05 14,70.5,-20.63,49.87,1,0.113122000000004,4921,5099,178,10,100,100,2,2.6,0.6,0.1,0.5,0.51,-1.48,-1.23,0.25,-1.26,0.2,0.1,0.2,0.22,1.63,1.6,0.03,0.1,0.1,0.14,0.108,0.221,-132.275015394796,-129.051290782236,-126.064328127935,-112.336137113001,-105.108423808204,-98.3813130089013,23.0593047110185,24.9735514564967,26.5187609867415,153.156836014311,175.141074355875,197.397239122181,-916.313278364968,-873.621101210687,-830.656485846211,1498.08236407727,1587.46704069233,1682.46399862132,-136160.786643156,-134721.653704724,-133307.667443145,8.15992458343506,8.38575506210327,8.62327255249024,15.3155546188355,15.914580821991,16.5302307128906,14.0657191467285,14.7810406684875,15.5154346466064,0.29406257390976,0.309447750449181,0.32619527220726,0.310201280415058,-2296.31847058093,-2204.83449498828,-2146.86241827729,291.455245999884,315.887850606837,338.085370302118,-916.313278364969,-873.621101210687,-830.656485846211,2347.59031372963,2392.50403452056,2467.7515951941,2167.06656746323,2228.54855822635,2319.34089366209,109.827447687427,111.35844502738,112.929692489505,-5.87864778524952,-5.75128801025299,-5.61546786878156,-6.30530479419127,-5.97395376209409,-5.66324290260319,11.7598970946828,12.4050976973505,13.0931582497045,12.3859627608847,13.8266935221309,15.1468027525204,162.391946585155,165.965290574739,169.908693788218,23.0593047110185,24.9735514564967,26.5187609867415
Wuk1,111161424,22103920+0640526,2721020906259820416,2721020906259820416,332.663386321597,6.68130997416432,27.3476935578011,,4763.67461625906,21.3525529875396,1.77031554693134,0.0497247492909027,-1.54788747354631,0.0267936547633106,0.191625967938751,0.0215953369009416,-245.572011245117,0.0628511960619846,14.8794696528315,0.81879324161798,,,,,,,,,,,,,332.66341530598,6.68129448358,0.1452,0.0369,0.686,0.033,-5.078,0.041,0.984,15.249528,0.002782,15.77717,0.003596,14.559656,0.004087,1.241,1.217514,0.527642,0.689872,,,44,85,2x2,0.7,2022 06 09,-272.7,27.48,-245.22,1,0.352011245117183,4686,4887,201,26,100,103,1.43,2.12,0.69,0.06,0.5,0.5,-2,-1.75,0.25,-1.75,0.2,0.13,0.2,0.24,1.65,1.58,0.07,0.05,0.1,0.11,0.292,0.191,-208.259563268005,-197.959224379133,-184.841053346814,-28.9428812139832,-20.9074199430525,-12.1699627621078,-67.3666341755402,-57.5492244676284,-47.2269099380176,377.225299008462,392.558243570085,424.053723282164,-342.023403348383,-239.75110296332,-133.962978351495,2003.92375797476,2258.51097489713,2513.1247071929,-134047.181455323,-128998.657879337,-124161.922161259,6.09310222625732,7.56205368041992,8.93466640472412,17.9485643768311,19.4427852630615,21.1557428741455,17.907172164917,19.3319692611694,20.9851695251465,0.409579586982727,0.440393030643463,0.490757738351822,0.453361991345882,-2583.33016397102,-2271.16404719175,-1949.1093991509,-1132.26101427868,-1018.17324560613,-886.433939166013,-342.023403348383,-239.751102963319,-133.962978351495,2145.37665639735,2498.9074861269,2842.53105437411,2141.2463913066,2486.97107061172,2822.09329536957,93.5858279328069,95.4621199887128,96.936373847947,-4.05942796413553,-3.84919820884755,-3.64505088685628,10.2327388320583,10.7522868949724,11.2568032301808,-9.64983098483194,-9.21733720624346,-8.77195756398629,78.6313691024872,86.079150039768,92.171959530234,-189.432712812155,-178.792911641453,-167.951842922274,-67.3666341755402,-57.5492244676284,-47.2269099380176
Wuk2,114265423,21283608-0529309,2671790891601429376,2671790891601429376,322.150369124875,-5.49190207200628,10.5267377194759,,4370.10833517515,13.3782988548742,1.01258928597376,0.0344732922256631,-1.6347177974938,0.0335685209928182,0.218485290385313,0.0374435876536996,-95.5180864466116,0.123973904180943,27.0142140579903,1.16337318008984,,,,,,,,,,,,,322.15036777509,-5.4919282455,0.0035,0.0319,0.824,0.035,-2.148,0.028,1.023,15.134478,0.002775,15.794021,0.003882,14.34913,0.004023,1.263,1.444891,0.659543,0.785348,,,30,68,2x2,0.7,2022 06 10,-122.5,25.91,-96.59,1,1.07191355338844,4392,4623,231,21,100,102,0.55,1.48,0.93,0.05,0.5,0.5,-2.18,-1.91,0.27,-1.88,0.25,0.15,0.2,0.25,2.3,2.14,0.16,0.07,0.1,0.12,0.332,0.232,-44.0927889089539,-36.280052187052,-27.5198521953915,-25.1095911808733,-17.1379318518314,-9.58208207017097,-125.132147049916,-117.961014507584,-110.193941555058,627.516898892265,720.689519787467,821.273063002128,-450.209792651494,-301.723098069328,-157.724637601941,2088.97094252544,2396.67235246725,2661.82404048415,-123418.779984735,-119592.891603785,-116160.69131891,5.8817427444458,7.55665445327759,9.24859535217285,23.6232516479492,24.8683938980103,26.0081481170654,23.4576403808594,24.6927585601807,25.74037940979,0.476386984586716,0.533874124288559,0.599152460098267,0.535528736710548,-2942.28434618692,-2548.96076623193,-2136.91173931171,584.806861178063,717.564885257933,802.300291923368,-450.209792651494,-301.723098069328,-157.724637601941,2213.80276340719,2664.74151153009,3096.49789759584,2207.86873928916,2642.51985880409,3049.32775697389,93.7964682854188,96.3679302517833,99.0192484074393,5.67771370985936,6.37760686639091,6.99396406854177,15.2204642280951,15.9880761687355,16.6640695595201,-17.1191834253078,-16.4247279197182,-15.6361516620193,-2.53918044235687,2.16212219712479,8.37743372925462,-49.7545038082947,-39.5108535285004,-30.3953852444408,-125.132147049916,-117.961014507584,-110.193941555058
Wuk3,116363589,21593615-1056027,2616761777740644864,2616761777740644864,329.900639840584,-10.9340921363485,20.1586972871991,,5012.677329137,23.5011114367658,2.17615543739574,0.0632212290758043,-1.87475260376665,0.0401043404780973,0.206683955027859,0.0476285975528868,-173.122182082857,0.0931871681329852,10.4576525585295,0.728304729830684,,,,,,,,,,,,,329.90067014166,-10.93412068204,0.1055,0.0335,-0.661,0.037,-1.995,0.031,1.001,15.223671,0.002777,15.678815,0.003449,14.586977,0.004163,1.234,1.091838,0.455144,0.636694,,,31,60,2x2,0.7,2022 06 09,-200.7,27.46,-173.24,1,0.117817917142531,4662,4866,204,29,100,104,1.16,1.9,0.74,0.09,0.5,0.51,-2.61,-2.32,0.29,-2.33,0.23,0.16,0.2,0.26,1.68,1.62,0.06,0.06,0.1,0.12,0.222,0.202,65.4366372269721,70.6703169115054,74.9128843882139,-42.5882872048625,-37.6263394186202,-32.9820292308643,119.878505194332,121.245644476114,122.086519409696,126.802287179218,155.780129569394,195.755857202236,-256.032517139683,-229.63994586249,-204.243556375767,1128.21032394267,1170.50581370827,1212.32276797278,-160826.510739188,-159143.165849013,-156936.947180095,4.13990753173828,4.24274110794067,4.32782022476196,9.5827978515625,10.0821452140808,10.7574408721924,9.36516624450684,9.8953914642334,10.6114117431641,0.378127369880676,0.408419162034988,0.442761640548706,0.410128781795502,1178.26666710817,1215.6105641895,1252.77969409949,366.149713225752,448.685227198781,522.994444086397,-256.032517139683,-229.63994586249,-204.243556375767,1308.19040699323,1316.72749903372,1327.93757854227,1283.966084331,1297.20048154911,1311.5115332037,98.8458556600839,100.050357885351,101.289987045596,-3.63417156200725,-3.31468469227619,-2.91251764553532,4.77555798404428,5.10972035835641,5.5303607913174,-8.07744884804162,-7.46307634887396,-6.9750106353885,-11.6943052484018,-6.54562231185012,-1.48044659011779,73.2797223880464,79.9206050513242,85.1651358816414,119.878505194332,121.245644476114,122.086519409696
Wuk4,150174705,16011695+0340389,4424978984005490304,4424978984005490304,240.320623827334,3.67749617675158,24.6998281314487,,5294.93787654465,32.8558645073181,2.81300760171213,0.0898185427958524,-2.48557010902577,0.0421017706686575,0.507198434635429,0.0439355801655706,78.3103067711708,0.13699537243253,5.35596863045845,0.542968273909052,,,,,,,,,,,,,240.32060863667,3.67746377139,0.145,0.029,-7.719,0.032,-7.584,0.022,0.926,15.239816,0.002774,15.678999,0.003908,14.618991,0.004057,1.23,1.060008,0.439183,0.620825,,,30,60,2x2,0.7,2022 06 09,96.7,-8.91,87.79,1,9.47969322882923,4923,5101,178,64,100,118,1.75,2.3,0.55,0.17,0.5,0.53,-3.01,-2.89,0.12,-2.89,0.19,0.13,0.2,0.24,1.8,1.79,0.01,0.05,0.1,0.11,0.485,0.148,-110.476595099924,-102.66524076861,-96.9062853311066,-35.6504588709399,-20.0659733873005,-2.56345941514952,106.569016557727,110.135339197035,114.821617299183,66.9081931189994,104.3544190493,125.562629550703,-165.024871908763,-86.9537927335404,-10.3731019152696,567.881502740705,686.446159121427,839.408446700377,-186169.27681906,-185740.359694429,-184427.623857344,1.95154616355896,2.14106380939484,2.56957813262939,5.73742866516113,5.80319452285767,5.8909782409668,5.62388624191284,5.72308349609375,5.74815324783325,0.38200896024704,0.461214378476143,0.503539547920227,0.445183058977127,50.0427533813358,124.490590828685,224.47431235426,795.098370248363,811.164364834771,830.354172210037,-165.024871908763,-86.9537927335404,-10.3731019152697,815.502709080668,828.366126141847,862.688173268609,795.914154151975,820.519837791738,862.625991647249,90.6910738025519,96.0352430230078,101.746188199794,-4.51154557715527,-4.20844708743589,-3.86815391959171,0.927465737146257,1.00368017061042,1.0892472449399,3.08307065960681,3.33642178002115,3.62086283884163,101.976413228453,104.061136887415,106.749636502596,-27.5894733570058,-4.16109279903611,15.7402017113193,106.569016557727,110.135339197035,114.821617299183
Wuk5,159416852,14510014-0450383,6337489231846231296,6337489231846231296,222.75059395324,-4.8439853540421,22.505797394853,,4655.8995968532,24.5642700735848,1.39259102244354,0.0525366276394879,-2.09490353992565,0.037407854015898,0.31095646378395,0.034129630060465,2.11576914423912,0.0848990934613015,24.5061695492882,1.41256270320281,,,,,,,,,,,,,222.75057968365,-4.84398928926,0.0215,0.0396,-1.409,0.044,-2.474,0.046,1.02,15.51949,0.002793,16.072264,0.003543,14.809289,0.004277,1.246,1.262975,0.552773,0.710201,,,37,72,2x2,0.7,2022 06 10,19.7,-17,2.7,1,0.584230855760878,4444,4670,226,21,100,102,0.65,1.5,0.85,0.07,0.5,0.5,-2.72,-2.41,0.31,-2.42,0.25,0.15,0.2,0.25,1.74,1.59,0.15,0.05,0.1,0.11,0.401,0.237,53.7615519162013,59.9519119779152,66.5406680873072,-73.9080399443442,-53.9501840965144,-39.6480165317381,-70.3512591616304,-66.396201882917,-62.963722464295,523.223164212318,648.471242392843,719.365417420023,-684.552395216123,-480.787055877896,-313.156510675577,1387.3339854939,1580.89853945802,1812.41862727232,-134262.829498631,-130425.702831435,-125941.962228038,4.27088562011719,5.66362833976746,7.35982448577881,18.9813571929932,19.9696226119995,21.3838408660889,18.5768811798096,19.3450555801392,20.4921697235107,0.480537323951721,0.561847507953644,0.632648279666901,0.559035729169846,1135.04690894419,1492.47773968359,1903.26120606121,1069.60441054969,1183.24710688272,1367.67523168941,-684.552395216123,-480.787055877896,-313.156510675577,1589.49649603589,1979.52671614686,2431.52649417207,1557.13195145768,1920.41874334685,2334.14000895849,101.287679782157,103.862425038218,106.578756015536,7.37603096856799,8.06445010939986,9.03917181372758,-3.1753212732104,-2.99578512166818,-2.86898367398912,16.9335440176244,17.6819616246114,18.7416342022068,35.5179864619077,37.1231427782844,38.6052979539516,-91.7811474560693,-71.3757319055938,-56.5601614026111,-70.3512591616304,-66.396201882917,-62.963722464295
