star,species,elem,N,ul,e_stat_w_old,e_stat_w_new,e_Teff_w,e_logg_w,e_vt_w,e_MH_w,[X/H],e_XH_old,e_XH_new,[X/Fe],e_XFe_old,e_XFe_new
wukong10_163246133_lesspayne_norm_EQW_params_synt,11.0,NaI,4,0,0.068,0.114,0.084,-0.057,-0.009,-0.008,-1.904,0.123,0.153,0.089,0.18,0.203
wukong10_163246133_lesspayne_norm_EQW_params_synt,12.0,MgI,6,0,0.089,0.124,0.104,-0.094,-0.02,-0.005,-1.592,0.167,0.188,0.401,0.191,0.21
wukong10_163246133_lesspayne_norm_EQW_params_synt,13.0,AlI,1,0,0.0,0.454,0.209,-0.258,-0.03,0.022,-2.287,0.334,0.564,-0.294,0.282,0.535
wukong10_163246133_lesspayne_norm_EQW_params_synt,14.0,SiI,5,0,0.198,0.21,0.062,0.003,-0.01,0.002,-1.411,0.208,0.219,0.582,0.267,0.277
wukong10_163246133_lesspayne_norm_EQW_params_synt,19.0,KI,2,0,0.603,0.624,0.135,-0.113,-0.041,-0.017,-0.791,0.63,0.65,1.202,0.628,0.648
wukong10_163246133_lesspayne_norm_EQW_params_synt,20.0,CaI,22,0,0.111,0.117,0.095,-0.054,-0.031,-0.017,-1.579,0.159,0.164,0.414,0.195,0.2
wukong10_163246133_lesspayne_norm_EQW_params_synt,21.1,ScII,8,0,0.232,0.259,-0.003,0.171,-0.064,0.012,-1.66,0.295,0.317,0.334,0.377,0.395
wukong10_163246133_lesspayne_norm_EQW_params_synt,22.0,TiI,46,0,0.17,0.172,0.136,-0.034,-0.021,-0.021,-1.73,0.222,0.224,0.263,0.232,0.235
wukong10_163246133_lesspayne_norm_EQW_params_synt,22.1,TiII,58,0,0.205,0.207,0.029,0.159,-0.046,0.041,-1.431,0.268,0.27,0.562,0.347,0.349
wukong10_163246133_lesspayne_norm_EQW_params_synt,23.0,VI,2,0,0.073,0.151,0.112,0.03,0.003,-0.065,-2.199,0.151,0.201,-0.206,0.198,0.239
wukong10_163246133_lesspayne_norm_EQW_params_synt,23.1,VII,2,0,0.099,0.194,-0.02,0.185,-0.011,0.032,-1.859,0.214,0.271,0.135,0.334,0.373
wukong10_163246133_lesspayne_norm_EQW_params_synt,24.0,CrI,15,0,0.127,0.137,0.141,-0.037,-0.031,-0.024,-2.108,0.198,0.204,-0.115,0.203,0.21
wukong10_163246133_lesspayne_norm_EQW_params_synt,24.1,CrII,5,0,0.052,0.113,-0.024,0.189,-0.012,0.026,-1.931,0.199,0.223,0.062,0.326,0.342
wukong10_163246133_lesspayne_norm_EQW_params_synt,25.0,MnI,6,0,0.043,0.108,0.097,-0.03,-0.001,-0.014,-2.469,0.111,0.149,-0.476,0.171,0.198
wukong10_163246133_lesspayne_norm_EQW_params_synt,26.0,FeI,129,0,0.157,0.158,0.127,-0.042,-0.041,-0.02,-1.993,0.211,0.212,0.0,0.0,0.0
