index wavelength species expot  loggf logeps e_stat       eqw     e_eqw  fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ----- ------ ------ ------ ------ ----- ----- ----- ------
   24   3858.297    28.0 0.422  -0.96  3.505  0.175   126.751     7.519 0.164  0.188 -0.102 -0.106 -0.050 0.244 0.100 0.316  9.989
   29   3900.539    22.1 1.130  -0.29  3.203  0.163   147.876     6.924 0.182  0.062  0.053 -0.122  0.025 0.149 0.100 0.242 17.026
   31   3904.783    22.0 0.899   0.15  2.406  0.073    31.976     3.735 0.128  0.137 -0.039 -0.008 -0.009 0.143 0.100 0.189 27.960
   35    3924.53    22.0 0.021  -0.87  2.722  0.081    51.034     4.555 0.122  0.162 -0.049 -0.018 -0.016 0.171 0.100 0.214 21.840
   36   3940.878    26.0 0.957  -2.49  5.030  0.173    93.654     6.670 0.183  0.167 -0.064 -0.080 -0.037 0.199 0.100 0.282 12.550
   38   3943.341    26.0 2.196  -2.35  5.128  0.089    34.118     4.641 0.152  0.130 -0.032 -0.010 -0.008 0.134 0.100 0.190 27.770
   40   3948.097    26.0 3.241  -0.59  5.017  0.101    56.008     5.132 0.171  0.101 -0.035 -0.024 -0.010 0.110 0.100 0.180 30.956
   41   3949.953    26.0 2.174  -1.25  4.996  0.121    82.452     4.658 0.142  0.130 -0.052 -0.067 -0.032 0.158 0.100 0.223 20.097
   42   3955.341    26.0 3.281  -1.05  4.939  0.068    26.322     3.062 0.109  0.102 -0.024 -0.008 -0.008 0.105 0.100 0.160 38.861
   43   3958.205    22.0 0.048  -0.11  3.099  0.115   101.139     4.271 0.187  0.166 -0.073 -0.086 -0.039 0.204 0.100 0.255 15.378
   45   3977.741    26.0 2.196  -1.12  5.228  0.145    95.684     5.115 0.182  0.131 -0.064 -0.085 -0.032 0.172 0.100 0.246 16.520
   46   3981.991    22.1 0.573  -2.54  3.123  0.157    89.172     5.813 0.172  0.053  0.175 -0.059  0.025 0.194 0.100 0.269 13.852
   48   3987.606    22.1 0.607  -2.73  2.712  0.083    58.446     4.284 0.135  0.055  0.173 -0.023  0.033 0.186 0.100 0.227 19.432
   49   3989.758    22.0 0.021  -0.13  2.980  0.126    97.774     4.812 0.169  0.165 -0.071 -0.077 -0.039 0.199 0.100 0.256 15.246
