index wavelength species expot  loggf logeps e_stat       eqw     e_eqw  fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ----- ------ ------ ------ ------ ----- ----- ----- ------
   25   3865.523    26.0 1.010  -0.95  6.053  0.037   247.928     8.555 0.268  0.146 -0.157 -0.016  0.040 0.219 0.100 0.243 16.894
   30   3902.946    26.0 1.556  -0.44  6.070  0.041   236.698     8.609 0.276  0.136 -0.184 -0.017  0.046 0.234 0.100 0.258 15.051
   31   3904.783    22.0 0.899   0.15  4.021  0.103    85.226     3.780 0.169  0.129 -0.028 -0.099 -0.008 0.165 0.100 0.219 20.877
   34   3917.181    26.0 0.989  -2.15  6.174  0.088   127.684     5.110 0.162  0.147 -0.091 -0.098  0.012 0.199 0.100 0.240 17.427
   35    3924.53    22.0 0.021  -0.87  3.807  0.139    76.680     5.276 0.130  0.149 -0.008 -0.075 -0.006 0.167 0.100 0.239 17.468
   40   3948.097    26.0 3.241  -0.59  6.302  0.144    92.704     5.610 0.172  0.097 -0.064 -0.103  0.011 0.156 0.100 0.234 18.191
   45   3977.741    26.0 2.196  -1.12  6.300  0.140   113.512     5.632 0.171  0.124 -0.076 -0.133  0.008 0.197 0.100 0.262 14.597
   48   3987.606    22.1 0.607  -2.73  4.006  0.095    73.288     3.863 0.144  0.018  0.211 -0.066  0.054 0.228 0.100 0.267 14.056
   50   3998.636    22.0 0.048   0.02  3.882  0.074   113.741     3.154 0.158  0.155 -0.083 -0.117 -0.001 0.211 0.100 0.245 16.644
   51   4001.661    26.0 2.174   -1.9  6.375  0.082    89.474     2.819 0.142  0.120 -0.011 -0.116 -0.001 0.167 0.100 0.211 22.370
   53   4008.927    22.0 0.021   -1.0  4.267  0.079    90.488     2.999 0.155  0.153 -0.030 -0.099 -0.010 0.185 0.100 0.225 19.821
   55   4025.129    22.1 0.607  -2.11  4.106  0.081   100.438     2.856 0.158  0.017  0.183 -0.130  0.047 0.230 0.100 0.264 14.399
   56   4028.338    22.1 1.890  -0.92  4.402  0.075   102.845     2.714 0.163 -0.001  0.160 -0.123  0.046 0.207 0.100 0.242 17.102
   57   4030.185    26.0 2.196  -2.31  5.999  0.052    58.337     2.390 0.121  0.113  0.012 -0.043  0.005 0.122 0.100 0.166 36.374
