index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ------ ------ ------ ------ ------ ----- ----- ----- ------
   29   3900.539    22.1 1.130  -0.29  3.279  0.284   156.605    14.112  0.202  0.033  0.064 -0.127  0.073 0.163 0.100 0.342  8.525
   40   3948.097    26.0 3.241  -0.59  5.548  0.216    92.235     9.063  0.175  0.118 -0.048 -0.066 -0.026 0.146 0.100 0.279 12.834
   42   3955.341    26.0 3.281  -1.05  5.454  0.125    62.538     6.940 -0.127  0.112 -0.026 -0.026 -0.014 0.119 0.100 0.199 25.178
   46   3981.991    22.1 0.573  -2.54  3.766  0.347   115.325    14.117  0.213  0.008  0.160 -0.102  0.039 0.194 0.100 0.410  5.952
   48   3987.606    22.1 0.607  -2.73  4.013  0.315   116.025    12.816  0.235  0.024  0.161 -0.103  0.038 0.196 0.100 0.384  6.767
   49   3989.758    22.0 0.021  -0.13  3.693  0.170   148.366     8.906  0.199  0.212 -0.101 -0.103 -0.034 0.259 0.100 0.325  9.451
   50   3998.636    22.0 0.048   0.02  3.847  0.155   162.930     9.789  0.250  0.210 -0.129 -0.096 -0.020 0.265 0.100 0.323  9.580
   53   4008.927    22.0 0.021   -1.0  3.394  0.164    95.861     7.297  0.175  0.194 -0.052 -0.065 -0.044 0.216 0.100 0.289 11.991
   55   4025.129    22.1 0.607  -2.11  3.421  0.176   117.959     7.480  0.177  0.025  0.160 -0.105  0.040 0.197 0.100 0.283 12.527
   56   4028.338    22.1 1.890  -0.92  3.286  0.155    95.720     6.829  0.144 -0.004  0.166 -0.074  0.051 0.189 0.100 0.264 14.352
   58   4032.627    26.0 1.484  -2.38  5.843  0.276   124.110    13.156  0.206  0.177 -0.063 -0.097 -0.033 0.214 0.100 0.363  7.577
   59   4053.821    22.1 1.891  -1.07  3.092  0.098    79.643     5.011  0.156 -0.002  0.177 -0.046  0.057 0.192 0.100 0.237 17.761
   60   4056.187    22.1 0.607  -3.28  3.553  0.138    69.708     7.757  0.197  0.027  0.185 -0.037  0.068 0.202 0.100 0.265 14.287
   63   4067.978    26.0 3.209  -0.53  5.511  0.137    97.881     6.381  0.197  0.120 -0.061 -0.068 -0.026 0.153 0.100 0.228 19.160
   64   4070.771    26.0 3.239  -0.87  5.253  0.101    65.312     5.615  0.154  0.113 -0.027 -0.028 -0.016 0.121 0.100 0.186 28.785
   65   4073.762    26.0 3.263  -0.97  5.308  0.087    60.923     5.181  0.138  0.113 -0.027 -0.024 -0.015 0.120 0.100 0.179 31.378
   68   4080.209    26.0 3.281  -1.18  5.386  0.079    51.669     4.601  0.131  0.111 -0.019 -0.014 -0.012 0.114 0.100 0.171 34.172
   70   4098.176    26.0 3.239  -0.97  5.652  0.154    81.778     7.640  0.203  0.116 -0.042 -0.051 -0.026 0.136 0.100 0.229 19.152
   71   4102.936    14.0 1.909 -3.336  6.342  0.104   142.096     6.067  0.210  0.128 -0.030 -0.071  0.000 0.149 0.100 0.208 23.179
   75   4120.206    26.0 2.988  -1.23  5.606  0.095    81.539     4.735  0.181  0.123 -0.036 -0.048 -0.025 0.139 0.100 0.196 26.055
   76   4121.802    26.0 2.829  -1.28  5.903  0.167   101.666     7.173  0.183  0.130 -0.047 -0.080 -0.034 0.163 0.100 0.254 15.491
   79   4139.927    26.0 0.989  -3.51  5.474  0.084    85.396     4.188  0.137  0.188 -0.033 -0.052 -0.030 0.200 0.100 0.239 17.515
   83   4150.249    26.0 3.428  -1.19  5.455  0.061    45.137     3.699  0.124  0.107 -0.020 -0.014 -0.010 0.110 0.100 0.161 38.659
   84   4152.169    26.0 0.957  -3.16  6.125  0.194   131.956     8.310  0.151  0.205 -0.058 -0.113 -0.043 0.245 0.100 0.328  9.290
   85     4153.9    26.0 3.397  -0.28  5.640  0.115   106.519     5.570  0.211  0.115 -0.077 -0.074 -0.025 0.159 0.100 0.220 20.627
   86   4158.792    26.0 3.428   -0.7  5.290  0.062    64.834     3.631  0.155  0.109 -0.027 -0.027 -0.015 0.116 0.100 0.166 36.484
   87   4161.529    22.1 1.083  -2.09  3.675  0.145   106.985     6.327  0.185  0.014  0.167 -0.080  0.056 0.194 0.100 0.262 14.567
   90   4173.921    26.0 0.989  -3.29  5.938  0.143   117.124     6.141  0.181  0.196 -0.044 -0.100 -0.040 0.228 0.100 0.287 12.136
   91   4174.913    26.0 0.914  -2.94  6.053  0.139   141.357     6.257  0.188  0.211 -0.072 -0.119 -0.033 0.255 0.100 0.307 10.607
   92   4178.855    26.1 2.583  -2.51  5.482  0.108    89.889     5.085  0.170 -0.025  0.189 -0.058  0.057 0.207 0.100 0.254 15.474
   93   4184.312    22.1 1.079  -2.49  4.126  0.145   109.836     6.089  0.200  0.015  0.167 -0.083  0.056 0.195 0.100 0.263 14.458
   95   4199.095    26.0 3.045   0.17  5.628  0.090   143.238     4.545  0.227  0.132 -0.101 -0.102 -0.020 0.196 0.100 0.238 17.690
   98   4233.163    26.1 2.583  -2.02  5.725  0.131   126.123     6.818  0.207 -0.022  0.162 -0.084  0.054 0.192 0.100 0.253 15.659
  102   4283.011    20.0 1.886 -0.224  4.730  0.098   114.343     4.580  0.190  0.115 -0.091 -0.079 -0.037 0.171 0.100 0.221 20.525
  103   4287.403    22.0 0.835  -0.37  3.493  0.075    85.606     4.053  0.169  0.170 -0.052 -0.046 -0.035 0.187 0.100 0.225 19.774
  105   4291.463    26.0 0.052  -4.08  6.019  0.105   142.759     4.751  0.175  0.248 -0.054 -0.119 -0.038 0.283 0.100 0.318  9.896
  111   4316.794    22.1 2.046  -1.62  3.375  0.065    56.250     4.017  0.162 -0.002  0.187 -0.019  0.063 0.198 0.100 0.231 18.681
  112   4318.652    20.0 1.899  -0.21  4.554  0.078   106.462     3.715  0.181  0.114 -0.078 -0.072 -0.040 0.161 0.100 0.205 23.838
  114   4326.351    22.0 0.825  -1.26  3.590  0.075    37.924     4.534  0.188  0.162 -0.039 -0.008 -0.022 0.168 0.100 0.210 22.759
  116   4330.238    22.1 2.046  -1.64  3.691  0.153    73.726     8.250  0.239 -0.004  0.183 -0.034  0.061 0.196 0.100 0.268 13.929
  117   4330.698    22.1 1.179  -2.09  3.662  0.097   103.352     4.528  0.199 -0.002  0.171 -0.073  0.043 0.191 0.100 0.236 17.911
  118   4331.642    28.0 1.675  -2.27  4.570  0.068    73.632     3.781  0.162  0.149 -0.007 -0.034 -0.014 0.154 0.100 0.196 26.160
  120   4344.502    24.0 1.003  -0.65  3.877  0.133   117.844     5.702  0.186  0.172 -0.064 -0.092 -0.047 0.211 0.100 0.268 13.881
  122   4351.544    26.0 2.988  -1.64  5.833  0.108    74.062     5.875  0.191  0.123 -0.029 -0.036 -0.022 0.133 0.100 0.199 25.371
