index wavelength species expot  loggf logeps e_stat       eqw     e_eqw  fwhm e_Teff e_logg   e_vt  e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ----- ------ ------ ------ ----- ----- ----- ----- ------
   24   3858.297    28.0 0.422  -0.96  2.716  0.164    59.446     6.391 0.135  0.184 -0.004 -0.060 0.004 0.194 0.100 0.273 13.444
   25   3865.523    26.0 1.010  -0.95  3.696  0.119    62.111     4.727 0.120  0.176 -0.021 -0.062 0.003 0.188 0.100 0.244 16.826
   29   3900.539    22.1 1.130  -0.29  1.373  0.106    32.538     5.153 0.095  0.073  0.200 -0.017 0.004 0.214 0.100 0.259 14.954
   30   3902.946    26.0 1.556  -0.44  3.848  0.116    65.620     4.628 0.148  0.164 -0.039 -0.067 0.003 0.181 0.100 0.237 17.739
   33    3906.48    26.0 0.110  -2.21  3.935  0.154    60.362     5.913 0.105  0.201 -0.010 -0.061 0.005 0.210 0.100 0.279 12.826
   50   3998.636    22.0 0.048   0.02  1.697  0.095    12.341     2.514 0.080  0.172  0.012 -0.004 0.004 0.173 0.100 0.221 20.498
   52   4005.242    26.0 1.556  -0.58  3.720  0.075    54.984     3.327 0.118  0.160 -0.010 -0.044 0.004 0.166 0.100 0.208 23.106
   77   4132.058    26.0 1.607  -0.68  3.864  0.076    55.430     3.384 0.133  0.160 -0.010 -0.044 0.004 0.166 0.100 0.208 23.026
   80   4143.415    26.0 3.047  -0.21  3.873  0.090    11.697     2.257 0.110  0.114  0.025 -0.004 0.002 0.117 0.100 0.178 31.504
   94   4187.039    26.0 2.450  -0.56  4.032  0.077    26.727     3.478 0.140  0.134  0.010 -0.010 0.003 0.135 0.100 0.185 29.330
   95   4199.095    26.0 3.045   0.17  3.884  0.065    24.234     2.697 0.139  0.114  0.022 -0.011 0.001 0.117 0.100 0.167 35.935
   98   4233.163    26.1 2.583  -2.02  4.086  0.088    14.629     2.647 0.100  0.030  0.213 -0.006 0.003 0.215 0.100 0.253 15.611
   99   4233.603    26.0 2.482   -0.6  3.956  0.070    20.860     2.680 0.095  0.132  0.015 -0.007 0.003 0.133 0.100 0.181 30.667
  100   4250.787    26.0 1.556  -0.71  3.740  0.056    51.532     2.615 0.130  0.161 -0.003 -0.036 0.004 0.165 0.100 0.201 24.765
  101   4282.403    26.0 2.174  -0.78  3.875  0.059    23.416     2.404 0.136  0.139  0.022 -0.008 0.002 0.141 0.100 0.183 29.981
  104   4290.215    22.1 1.164  -0.87  1.762  0.053    24.542     2.290 0.108  0.075  0.200 -0.010 0.004 0.214 0.100 0.242 17.079
  107   4300.042    22.1 1.179  -0.46  1.647  0.049    37.448     2.443 0.139  0.076  0.198 -0.020 0.005 0.213 0.100 0.240 17.299
  112   4318.652    20.0 1.899  -0.21  3.143  0.139     9.741     3.188 0.141  0.097  0.018 -0.002 0.001 0.099 0.100 0.198 25.602
  125    4375.93    26.0 0.000   -3.0  4.080  0.059    39.665     2.866 0.133  0.203  0.012 -0.021 0.004 0.204 0.100 0.235 18.086
  129   4395.031    22.1 1.083  -0.54  1.703  0.051    42.076     2.719 0.126  0.079  0.196 -0.022 0.005 0.213 0.100 0.240 17.311
  131   4399.765    22.1 1.236   -1.2  1.683  0.097     9.984     2.139 0.094  0.074  0.201 -0.001 0.005 0.214 0.100 0.256 15.311
  138   4415.123    26.0 1.607  -0.62  3.944  0.076    63.512     3.289 0.146  0.165 -0.028 -0.057 0.004 0.177 0.100 0.217 21.254
  145    4427.31    26.0 0.052  -2.92  3.943  0.067    34.275     3.221 0.134  0.198  0.014 -0.019 0.005 0.199 0.100 0.233 18.424
  149   4435.679    20.0 1.886 -0.519  3.400  0.133     9.160     2.876 0.113  0.098  0.016 -0.002 0.001 0.099 0.100 0.194 26.628
  151   4442.339    26.0 2.196  -1.23  3.817  0.098     8.723     1.954 0.082  0.138  0.021 -0.003 0.003 0.140 0.100 0.198 25.570
  152   4443.801    22.1 1.079  -0.71  1.917  0.050    44.894     2.592 0.151  0.079  0.196 -0.024 0.004 0.213 0.100 0.240 17.316
  160   4454.779    20.0 1.899  0.258  3.105  0.058    22.874     2.450 0.139  0.099  0.005 -0.007 0.001 0.099 0.100 0.152 43.027
  164   4459.117    26.0 2.174  -1.29  4.056  0.089    13.199     2.501 0.142  0.140  0.020 -0.004 0.002 0.141 0.100 0.195 26.356
  165   4461.653    26.0 0.087  -3.19  3.909  0.048    19.964     1.780 0.120  0.199  0.016 -0.007 0.004 0.200 0.100 0.229 19.147
  167   4468.493    22.1 1.130  -0.63  1.720  0.046    36.142     2.299 0.128  0.075  0.198 -0.019 0.005 0.213 0.100 0.239 17.442
  178   4494.563    26.0 2.196  -1.14  3.983  0.094    14.741     2.867 0.150  0.139  0.020 -0.005 0.003 0.141 0.100 0.196 25.912
  180    4501.27    22.1 1.115  -0.77  1.848  0.055    36.556     2.767 0.155  0.076  0.197 -0.016 0.005 0.212 0.100 0.241 17.274
  189   4528.614    26.0 2.174  -0.89  4.030  0.073    26.299     3.235 0.168  0.141  0.014 -0.010 0.003 0.142 0.100 0.188 28.156
  194   4535.569    22.0 0.825   0.14  2.187  0.109     8.544     2.153 0.102  0.151  0.013 -0.002 0.003 0.152 0.100 0.212 22.289
  203   4571.971    22.1 1.571  -0.31  1.759  0.042    30.817     1.994 0.134  0.066  0.200 -0.012 0.005 0.211 0.100 0.237 17.765
  242   4702.991    12.0 4.346  -0.44  4.374  0.087    12.519     2.452 0.151  0.070  0.019 -0.001 0.001 0.073 0.100 0.151 43.796
  276   4890.755    26.0 2.876  -0.38  3.844  0.088    12.608     2.372 0.123  0.122  0.018 -0.003 0.003 0.123 0.100 0.182 30.330
  306   5018.435    26.1 2.891   -1.1  3.795  0.134    27.345     6.104 0.120  0.027  0.208 -0.012 0.003 0.210 0.100 0.269 13.869
  344   5172.684    12.0 2.712 -0.393  4.219  0.083   102.829     5.542 0.178  0.155 -0.143 -0.041 0.005 0.215 0.100 0.251 15.855
  346   5183.604    12.0 2.717 -0.167  4.513  0.252   142.264    26.844 0.134  0.186 -0.241 -0.035 0.007 0.307 0.100 0.409  5.972
  352   5206.023    24.0 0.941   0.02  1.908  0.115    16.705     3.913 0.140  0.149  0.008 -0.006 0.003 0.149 0.100 0.213 21.961
  360    5227.19    26.0 1.556  -1.23  3.906  0.097    38.113     4.938 0.208  0.161  0.005 -0.019 0.004 0.162 0.100 0.214 21.866
  384   5328.039    26.0 0.914  -1.47  3.932  0.094    62.632     4.268 0.181  0.188 -0.025 -0.053 0.004 0.197 0.100 0.240 17.352
  393   5371.489    26.0 0.957  -1.64  3.952  0.084    53.373     4.174 0.177  0.183 -0.010 -0.037 0.004 0.187 0.100 0.228 19.219
  397   5397.128    26.0 0.914  -1.98  4.032  0.080    42.623     4.038 0.203  0.181  0.003 -0.022 0.005 0.182 0.100 0.223 20.129
  398   5405.775    26.0 0.989  -1.85  4.132  0.102    50.217     5.075 0.201  0.181 -0.005 -0.031 0.005 0.184 0.100 0.233 18.458
  402   5429.696    26.0 0.957  -1.88  4.115  0.078    49.639     3.863 0.214  0.182 -0.004 -0.032 0.005 0.185 0.100 0.224 19.891
  403   5434.524    26.0 1.010  -2.13  3.801  0.083    20.494     3.170 0.142  0.176  0.013 -0.007 0.005 0.177 0.100 0.219 20.786
  410   5528.405    12.0 4.346 -0.498  4.589  0.089    18.003     3.373 0.192  0.073  0.009 -0.003 0.001 0.074 0.100 0.153 42.841
  442   5889.951    11.0 0.000  0.108  2.615  0.051    67.613     3.232 0.229  0.133 -0.035 -0.024 0.004 0.140 0.100 0.179 31.145
  444   5895.924    11.0 0.000 -0.194  2.579  0.045    46.204     2.777 0.196  0.128 -0.009 -0.012 0.003 0.129 0.100 0.169 34.911
  449   6162.173    20.0 1.899  -0.09  2.966  0.102    10.386     2.393 0.148  0.103  0.006 -0.002 0.002 0.103 0.100 0.176 32.198
  494     4310.0   106.0   nan    nan  5.082  0.044 -9999.000 -9999.000 0.124  0.305 -0.185  0.010 0.019 0.357 0.100 0.373  7.178
  495     4323.0   106.0   nan    nan  5.174  0.098 -9999.000 -9999.000 0.147  0.237 -0.192  0.015 0.019 0.306 0.100 0.336  8.837
  496     4246.0    21.1   nan    nan -0.264  0.122 -9999.000 -9999.000 0.116  0.072  0.196 -0.017 0.001 0.210 0.200 0.314 10.115
  500     4032.0    25.0   nan    nan  1.234  0.147 -9999.000 -9999.000 0.120  0.185  0.011 -0.008 0.001 0.185 0.200 0.310 10.418
  501     3962.0    13.0   nan    nan  2.103  0.171 -9999.000 -9999.000 0.120  0.142 -0.001 -0.017 0.005 0.143 0.300 0.374  7.155
  503     3906.0    14.0   nan    nan  4.059  0.221 -9999.000 -9999.000 0.108  0.198 -0.071 -0.054 0.008 0.218 0.100 0.326  9.403
  484     6300.0     8.0   nan    nan  8.704    nan       nan       nan   nan    nan    nan    nan   nan   nan   nan   nan    nan
  505     4379.0    23.0   nan    nan  1.343    nan       nan       nan   nan    nan    nan    nan   nan   nan   nan   nan    nan
  512     4121.0    27.0   nan    nan  1.983    nan       nan       nan   nan    nan    nan    nan   nan   nan   nan   nan    nan
  515     4215.0    38.1   nan    nan -1.589    nan       nan       nan   nan    nan    nan    nan   nan   nan   nan   nan    nan
  520     4554.0    56.1   nan    nan -1.943    nan       nan       nan   nan    nan    nan    nan   nan   nan   nan   nan    nan
  533     4129.0    63.1   nan    nan -1.637    nan       nan       nan   nan    nan    nan    nan   nan   nan   nan   nan    nan
  538     3877.0   607.0   nan    nan  6.646    nan       nan       nan   nan    nan    nan    nan   nan   nan   nan   nan    nan
