index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight                                              star
----- ---------- ------- ----- ------ ------ ------ --------- --------- ------ ------ ------ ------ ------ ----- ----- ----- ------ -------------------------------------------------
   24   3858.297    28.0 0.422  -0.96  4.012  0.104   136.228     7.161  0.194  0.188 -0.159 -0.069  0.007 0.256 0.100 0.294 11.594 wukong10_163246133_lesspayne_norm_EQW_params_synt
   29   3900.539    22.1 1.130  -0.29  3.277  0.164   126.383     7.217  0.176  0.054  0.042 -0.105  0.050 0.135 0.100 0.235 18.148 wukong10_163246133_lesspayne_norm_EQW_params_synt
   31   3904.783    22.0 0.899   0.15  2.776  0.089    44.316     4.418  0.097  0.136 -0.030 -0.018 -0.016 0.141 0.100 0.195 26.387 wukong10_163246133_lesspayne_norm_EQW_params_synt
   34   3917.181    26.0 0.989  -2.15  5.470  0.116   107.780     5.126  0.160  0.175 -0.093 -0.091 -0.027 0.220 0.100 0.268 13.939 wukong10_163246133_lesspayne_norm_EQW_params_synt
   35    3924.53    22.0 0.021  -0.87  3.027  0.102    57.367     4.480  0.133  0.162 -0.037 -0.032 -0.025 0.171 0.100 0.223 20.134 wukong10_163246133_lesspayne_norm_EQW_params_synt
   37   3941.275    26.0 3.263  -1.03  5.436  0.116    46.828     5.490  0.134  0.097 -0.023 -0.024 -0.013 0.103 0.100 0.185 29.291 wukong10_163246133_lesspayne_norm_EQW_params_synt
   38   3943.341    26.0 2.196  -2.35  5.719  0.122    55.685     5.087  0.171  0.127 -0.023 -0.036 -0.018 0.135 0.100 0.208 23.168 wukong10_163246133_lesspayne_norm_EQW_params_synt
   40   3948.097    26.0 3.241  -0.59  5.280  0.117    60.357     4.623  0.158  0.102 -0.030 -0.042 -0.016 0.115 0.100 0.192 27.017 wukong10_163246133_lesspayne_norm_EQW_params_synt
   43   3958.205    22.0 0.048  -0.11  3.286  0.135    94.840     4.753  0.170  0.175 -0.074 -0.092 -0.040 0.215 0.100 0.273 13.442 wukong10_163246133_lesspayne_norm_EQW_params_synt
   45   3977.741    26.0 2.196  -1.12  5.287  0.165    85.155     5.335  0.139  0.139 -0.050 -0.097 -0.030 0.179 0.100 0.263 14.418 wukong10_163246133_lesspayne_norm_EQW_params_synt
   46   3981.991    22.1 0.573  -2.54  3.762  0.191    89.602     6.366  0.195  0.043  0.165 -0.090  0.033 0.196 0.100 0.291 11.800 wukong10_163246133_lesspayne_norm_EQW_params_synt
   48   3987.606    22.1 0.607  -2.73  3.257  0.091    62.439     3.552  0.135  0.039  0.189 -0.035  0.040 0.200 0.100 0.242 17.138 wukong10_163246133_lesspayne_norm_EQW_params_synt
   49   3989.758    22.0 0.021  -0.13  3.741  0.121   113.661     5.318  0.176  0.182 -0.125 -0.092 -0.029 0.241 0.100 0.288 12.092 wukong10_163246133_lesspayne_norm_EQW_params_synt
