name,[FeI/H],[FeI/H]_unc,[NaI/Fe],[NaI/Fe]_unc,flag_[NaI/Fe],[NaI/Fe]_nlte,[MgI/Fe],[MgI/Fe]_unc,flag_[MgI/Fe],[AlI/Fe],[AlI/Fe]_unc,flag_[AlI/Fe],[SiI/Fe],[SiI/Fe]_unc,flag_[SiI/Fe],[KI/Fe],[KI/Fe]_unc,flag_[KI/Fe],[CaI/Fe],[CaI/Fe]_unc,flag_[CaI/Fe],[ScII/Fe],[ScII/Fe]_unc,flag_[ScII/Fe],[TiI/Fe],[TiI/Fe]_unc,flag_[TiI/Fe],[TiII/Fe],[TiII/Fe]_unc,flag_[TiII/Fe],[VI/Fe],[VI/Fe]_unc,flag_[VI/Fe],[VII/Fe],[VII/Fe]_unc,flag_[VII/Fe],[CrI/Fe],[CrI/Fe]_unc,flag_[CrI/Fe],[CrII/Fe],[CrII/Fe]_unc,flag_[CrII/Fe],[MnI/Fe],[MnI/Fe]_unc,flag_[MnI/Fe],[FeI/Fe],[FeI/Fe]_unc,flag_[FeI/Fe],[FeII/Fe],[FeII/Fe]_unc,flag_[FeII/Fe],[CoI/Fe],[CoI/Fe]_unc,flag_[CoI/Fe],[NiI/Fe],[NiI/Fe]_unc,flag_[NiI/Fe],[ZnI/Fe],[ZnI/Fe]_unc,flag_[ZnI/Fe],[SrII/Fe],[SrII/Fe]_unc,flag_[SrII/Fe],[YII/Fe],[YII/Fe]_unc,flag_[YII/Fe],[ZrII/Fe],[ZrII/Fe]_unc,flag_[ZrII/Fe],[BaII/Fe],[BaII/Fe]_unc,flag_[BaII/Fe],[LaII/Fe],[LaII/Fe]_unc,flag_[LaII/Fe],[EuII/Fe],[EuII/Fe]_unc,flag_[EuII/Fe],[DyII/Fe],[DyII/Fe]_unc,flag_[DyII/Fe],[CH/Fe],[CH/Fe]_unc,flag_[CH/Fe],[CN/Fe],[CN/Fe]_unc,flag_[CN/Fe],[OI/Fe],[OI/Fe]_unc,flag_[OI/Fe],[SrI/Fe],[SrI/Fe]_unc,flag_[SrI/Fe],[CuI/Fe],[CuI/Fe]_unc,flag_[CuI/Fe]
wukong10,-1.993,0.211,0.089,0.18,det,-0.045,0.401,0.191,det,-0.294,0.282,det,0.582,0.267,det,1.202,0.628,det,0.414,0.195,det,0.334,0.377,det,0.263,0.232,det,0.562,0.347,det,-0.206,0.198,det,0.135,0.334,det,-0.115,0.203,det,0.062,0.326,det,-0.476,0.171,det,0,0,det,0.069,0.329,det,0.111,0.315,det,-0.043,0.212,det,0.083,0.261,det,0.023,0.208,det,-0.143,0.31,det,0.161,0.354,det,0.096,0.281,det,0.156,0.303,det,0.339,0.312,det,0.432,0.337,det,-0.206,0.232,det,0.393,0.24,det,0.986,nan,ul,,,,,,
wukong11,-2.37,0.195,0.57,0.199,det,0.516,0.476,0.176,det,-0.278,0.226,det,0.734,0.191,det,0.815,0.142,det,0.42,0.202,det,0.15,0.348,det,0.192,0.216,det,0.416,0.302,det,-0.091,0.159,det,0.272,0.315,det,-0.208,0.193,det,-0.001,0.307,det,-0.405,0.15,det,0,0,det,0.035,0.318,det,0.088,0.19,det,0.025,0.196,det,0.013,0.212,det,0.143,0.244,det,-0.223,0.285,det,0.063,0.312,det,-0.156,0.261,det,-0.088,0.303,det,0.212,0.265,det,0.359,0.31,det,-0.364,0.226,det,0.644,0.246,det,0.903,nan,ul,,,,,,
wukong12,-2.117,0.215,0.172,0.225,det,-0.24,0.277,0.214,det,-0.39,0.248,det,0.436,0.261,det,,,,0.296,0.201,det,0.123,0.338,det,0.154,0.227,det,0.336,0.325,det,-0.145,0.194,det,0.282,0.338,det,-0.126,0.183,det,0.022,0.373,det,-0.433,0.194,det,0,0,det,0.084,0.342,det,0.075,0.234,det,-0.032,0.236,det,0.067,0.263,det,0.058,0.197,det,-0.226,0.34,det,0.276,0.346,det,0.047,0.277,det,0.199,0.328,det,0.546,0.299,det,0.701,0.328,det,-0.185,0.261,det,0.401,0.272,det,1.179,nan,ul,,,,,,
wukong13,-1.896,0.199,0.017,0.279,det,-0.018,0.322,0.216,det,-0.432,0.249,det,0.411,0.202,det,0.869,0.158,det,0.299,0.17,det,0.228,0.35,det,0.239,0.222,det,0.473,0.31,det,-0.04,0.173,det,0.246,0.307,det,-0.085,0.189,det,0.075,0.341,det,-0.375,0.159,det,0,0,det,0.045,0.323,det,0.141,0.28,det,-0.034,0.227,det,0.069,0.24,det,0.086,0.199,det,-0.127,0.306,det,0.223,0.354,det,0.072,0.262,det,0.12,0.294,det,0.404,0.285,det,0.479,0.346,det,-0.082,0.203,det,0.38,0.212,det,1.581,nan,ul,-0.403,0.147,det,,,
wukong14,-1.261,0.198,-0.28,0.166,det,-0.395,0.108,0.221,det,-0.606,0.238,det,0.274,0.254,det,,,,0.226,0.172,det,0.376,0.365,det,0.221,0.233,det,0.457,0.327,det,-0.063,0.212,det,0.191,0.332,det,0.057,0.198,det,-0.011,0.335,det,-0.31,0.186,det,0,0,det,0.082,0.351,det,0.164,0.293,det,-0.078,0.252,det,-0.056,0.272,det,0.062,0.229,det,-0.11,0.337,det,0.248,0.358,det,0.347,0.239,det,0.477,0.314,det,0.714,0.327,det,0.958,0.354,det,-0.068,0.212,det,0.223,0.226,det,0.938,nan,ul,-0.325,0.164,det,-1.185,0.187,det
wukong1,-1.749,0.204,0.002,0.162,det,-0.154,0.292,0.191,det,-0.488,0.247,det,0.417,0.301,det,0.791,0.17,det,0.371,0.187,det,0.238,0.34,det,0.167,0.233,det,0.516,0.357,det,-0.186,0.189,det,0.103,0.319,det,-0.108,0.18,det,0.118,0.342,det,-0.469,0.166,det,0,0,det,0.085,0.341,det,0.047,0.356,det,-0.041,0.206,det,0.08,0.267,det,0.147,0.221,det,-0.067,0.325,det,0.334,0.361,det,0.264,0.241,det,0.278,0.309,det,0.496,0.326,det,0.776,0.287,det,-0.157,0.227,det,0.223,0.248,det,0.891,nan,ul,-0.052,0.156,det,,,
wukong2,-1.879,0.246,-0.053,0.216,det,-0.149,0.332,0.232,det,-0.552,0.272,det,0.418,0.256,det,1.023,0.199,det,0.351,0.24,det,0.435,0.42,det,0.365,0.257,det,0.531,0.399,det,-0.109,0.213,det,0.214,0.36,det,-0.003,0.215,det,0.003,0.393,det,-0.346,0.203,det,0,0,det,0.025,0.381,det,0.15,0.445,det,-0.018,0.313,det,0.033,0.318,det,0.161,0.313,det,-0.031,0.345,det,0.122,0.361,det,0.187,0.305,det,0.315,0.339,det,0.541,0.334,det,0.672,0.351,det,-0.566,0.295,det,0.484,0.307,det,1.146,nan,ul,-0.174,0.2,det,,,
wukong3,-2.332,0.227,0.11,0.235,det,-0.343,0.222,0.202,det,-0.595,0.308,det,0.69,0.236,det,,,,0.248,0.222,det,0.076,0.339,det,0.113,0.234,det,0.323,0.335,det,-0.412,0.253,det,0.235,0.324,det,-0.22,0.224,det,0.026,0.371,det,-0.376,0.2,det,0,0,det,0.039,0.353,det,0.075,0.243,det,0.07,0.279,det,-0.073,0.252,det,0.087,0.229,det,-0.313,0.318,det,0.02,0.336,det,-0.29,0.284,det,-0.078,nan,ul,0.105,0.321,det,,,,-0.066,0.261,det,-0.042,nan,ul,1.645,nan,ul,,,,,,
wukong4,-2.885,0.185,0.341,0.196,det,-0.087,0.485,0.148,det,-0.768,0.137,det,0.626,0.324,det,,,,0.528,0.185,det,-0.18,0.293,det,0.471,0.377,det,0.258,0.297,det,0.546,nan,ul,1.044,nan,ul,-0.103,0.239,det,,,,-0.228,0.149,det,0,0,det,0.009,0.297,det,0.096,0.138,det,0.062,0.14,det,,,,0.849,0.221,det,0.464,0.253,det,0.974,0.333,det,0.118,0.238,det,1.276,nan,ul,0.959,nan,ul,,,,0.737,0.253,det,1.499,nan,ul,2.489,nan,ul,,,,,,
wukong5,-2.423,0.25,0.686,0.282,det,0.451,0.401,0.237,det,-0.138,0.302,det,0.675,0.377,det,0.677,0.206,det,0.328,0.248,det,0.248,0.4,det,0.147,0.287,det,0.503,0.353,det,-0.301,0.23,det,0.298,0.39,det,-0.228,0.237,det,0.017,0.364,det,-0.566,0.216,det,0,0,det,0.077,0.364,det,-0.127,0.252,det,-0.117,0.233,det,0.08,0.287,det,0.071,0.244,det,-0.193,0.341,det,0.082,0.356,det,-0.175,0.31,det,-0.079,0.355,det,0.047,0.34,det,0.416,0.367,det,-0.352,0.264,det,0.621,0.271,det,0.995,nan,ul,,,,,,
